Alpha_3_code,Nation
SLV,El Salvador
GIN,Guinea
TGO,Togo
ZWE,Zimbabwe
NER,Niger
NIC,Nicaragua
HND,Honduras
TCD,Chad
GTM,Guatemala
MOZ,Mozambique
GRC,Greece
BLR,Belarus
CYP,Cyprus
ALB,Albania
MNG,Mongolia
MLT,Malta
RUS,Russia
MDA,Moldova
ITA,Italy
JOR,Jordan
HRV,Croatia
LVA,Latvia
GEO,Georgia
MKD,North Macedonia
EST,Estonia
MAR,Morocco
PRT,Portugal
SVN,Slovenia
POL,Poland
LTU,Lithuania
CZE,Czech Republic
BGR,Bulgaria
HUN,Hungary
ZMB,Zambia
LBN,Lebanon
ARM,Armenia
SVK,Slovak Republic
ROU,Romania
